🛠️ Merchant Care (4 Assessments),
✅ Hardware Setup & Troubleshooting,https://forms.gle/4uqyPthsVweeZPqx6
✅ Mock Test 1,https://forms.gle/FKaQMgkzC6waDdhh8
✅ Mock Test 2,https://forms.gle/FKaQMgkzC6waDdhh8
✅ Mock Test 3,https://forms.gle/FKaQMgkzC6waDdhh8
,
🚀 Merchant Onboarding Manager (7 Assessments),
✅ Hardware Setup & Troubleshoot ,https://forms.gle/4uqyPthsVweeZPqx6
✅ Training Assessment F&B,https://forms.gle/PoWWciHpStBQyoy2A
✅ Training Assessment Retail,https://forms.gle/NLz3fTGEzrtig3qz9
✅ Welcome Call,https://forms.gle/faZ9tWtdaq34Sb9r7
✅ Go Live Call,https://forms.gle/8RqXyt7unMg25skK9
✅ Training Mock Test (F&B),https://forms.gle/CcfmMcrb48cj6iMx6
✅ Training Mock Test (Retail),https://forms.gle/F5SaX7CURqrNoEV66
,
🎯 Customer Success Manager (5 Assessments),
✅ Hardware Setup & Troubleshoot ,https://forms.gle/4uqyPthsVweeZPqx6
✅ AM Assessment,https://forms.gle/89McoPTBytfjnh78A
✅ Roleplay 1,https://forms.gle/SDGiQgRzWkWKAj7f6
✅ Roleplay 2,https://forms.gle/SDGiQgRzWkWKAj7f6
,
📋 Onboarding Specialist (5 Assessments),
✅ Hardware Setup & Troubleshoot ,https://forms.gle/4uqyPthsVweeZPqx6
✅ Training Assessment F&B,https://forms.gle/PoWWciHpStBQyoy2A
✅ Training Assessment Retail,https://forms.gle/NLz3fTGEzrtig3qz9
✅ Mock Test F&B,https://forms.gle/CcfmMcrb48cj6iMx6
✅ Mock Test Retail,https://forms.gle/F5SaX7CURqrNoEV66
,
🔧 Onboarding Coordinator (1 Assessment),
✅ Hardware Setup,https://forms.gle/4uqyPthsVweeZPqx6
